#  [0]z0 [1]zf [2]sigma_z [3]marg_sz [4]marg_bz [5]lmax
0.20000 0.30000 0.03750 0 0 527
0.30000 0.40000 0.04050 0 0 719
0.40000 0.50000 0.04350 0 0 899
0.50000 0.60000 0.04650 0 0 1069
0.60000 0.70000 0.04950 0 0 1229
0.70000 0.80000 0.05250 0 0 1380
0.80000 0.90000 0.05550 0 0 1521
0.90000 1.00000 0.05850 0 0 1654
1.00000 1.10000 0.06150 0 0 1780
1.10000 1.20000 0.06450 0 0 1898
