# Dimensionless power spectra l*(l+1)*C_l/(2*pi)
# [0] l, [1] l1l1, [2] l1l2, [3] l2l2,
118 3.789165E-06 4.499670E-06 5.608705E-06 
119 3.799590E-06 4.512894E-06 5.626098E-06 
120 3.809847E-06 4.525954E-06 5.643312E-06 
121 3.819938E-06 4.538851E-06 5.660352E-06 
122 3.829863E-06 4.551586E-06 5.677222E-06 
123 3.839623E-06 4.564155E-06 5.693922E-06 
124 3.849214E-06 4.576556E-06 5.710452E-06 
125 3.858635E-06 4.588783E-06 5.726812E-06 
126 3.867881E-06 4.600829E-06 5.742997E-06 
127 3.876946E-06 4.612687E-06 5.759002E-06 
128 3.885825E-06 4.624345E-06 5.774820E-06 
129 3.894510E-06 4.635794E-06 5.790444E-06 
130 3.903007E-06 4.647038E-06 5.805877E-06 
131 3.911320E-06 4.658082E-06 5.821124E-06 
132 3.919455E-06 4.668929E-06 5.836190E-06 
133 3.927415E-06 4.679583E-06 5.851076E-06 
134 3.935206E-06 4.690047E-06 5.865785E-06 
135 3.942831E-06 4.700323E-06 5.880317E-06 
136 3.950292E-06 4.710412E-06 5.894670E-06 
137 3.957592E-06 4.720314E-06 5.908844E-06 
138 3.964731E-06 4.730028E-06 5.922834E-06 
139 3.971711E-06 4.739553E-06 5.936635E-06 
140 3.978532E-06 4.748886E-06 5.950243E-06 
141 3.985192E-06 4.758024E-06 5.963648E-06 
142 3.991691E-06 4.766962E-06 5.976841E-06 
143 3.998027E-06 4.775694E-06 5.989813E-06 
144 4.004197E-06 4.784216E-06 6.002555E-06 
145 4.010207E-06 4.792533E-06 6.015069E-06 
146 4.016065E-06 4.800652E-06 6.027360E-06 
147 4.021776E-06 4.808580E-06 6.039436E-06 
148 4.027346E-06 4.816322E-06 6.051299E-06 
149 4.032782E-06 4.823886E-06 6.062954E-06 
150 4.038088E-06 4.831275E-06 6.074404E-06 
151 4.043271E-06 4.838497E-06 6.085652E-06 
152 4.048335E-06 4.845555E-06 6.096701E-06 
153 4.053285E-06 4.852454E-06 6.107551E-06 
154 4.058124E-06 4.859198E-06 6.118203E-06 
155 4.062858E-06 4.865791E-06 6.128658E-06 
156 4.067489E-06 4.872236E-06 6.138915E-06 
157 4.072020E-06 4.878536E-06 6.148972E-06 
158 4.076454E-06 4.884692E-06 6.158827E-06 
159 4.080793E-06 4.890707E-06 6.168477E-06 
160 4.085040E-06 4.896582E-06 6.177918E-06 
161 4.089196E-06 4.902319E-06 6.187148E-06 
162 4.093265E-06 4.907922E-06 6.196172E-06 
163 4.097253E-06 4.913400E-06 6.204996E-06 
164 4.101165E-06 4.918757E-06 6.213629E-06 
165 4.105003E-06 4.924000E-06 6.222074E-06 
166 4.108773E-06 4.929134E-06 6.230340E-06 
167 4.112478E-06 4.934164E-06 6.238432E-06 
168 4.116121E-06 4.939096E-06 6.246355E-06 
169 4.119706E-06 4.943935E-06 6.254114E-06 
170 4.123235E-06 4.948685E-06 6.261715E-06 
171 4.126711E-06 4.953350E-06 6.269161E-06 
172 4.130135E-06 4.957935E-06 6.276458E-06 
173 4.133510E-06 4.962441E-06 6.283609E-06 
174 4.136836E-06 4.966874E-06 6.290617E-06 
175 4.140116E-06 4.971236E-06 6.297485E-06 
176 4.143348E-06 4.975529E-06 6.304217E-06 
177 4.146534E-06 4.979755E-06 6.310814E-06 
178 4.149674E-06 4.983916E-06 6.317279E-06 
179 4.152766E-06 4.988014E-06 6.323612E-06 
180 4.155810E-06 4.992050E-06 6.329817E-06 
181 4.158808E-06 4.996027E-06 6.335896E-06 
182 4.161763E-06 4.999949E-06 6.341858E-06 
183 4.164677E-06 5.003818E-06 6.347706E-06 
184 4.167551E-06 5.007638E-06 6.353447E-06 
185 4.170387E-06 5.011411E-06 6.359085E-06 
186 4.173186E-06 5.015139E-06 6.364625E-06 
187 4.175950E-06 5.018824E-06 6.370071E-06 
188 4.178678E-06 5.022468E-06 6.375428E-06 
189 4.181372E-06 5.026071E-06 6.380700E-06 
190 4.184031E-06 5.029635E-06 6.385891E-06 
191 4.186655E-06 5.033159E-06 6.391003E-06 
192 4.189243E-06 5.036645E-06 6.396039E-06 
193 4.191794E-06 5.040093E-06 6.401004E-06 
194 4.194308E-06 5.043500E-06 6.405899E-06 
195 4.196782E-06 5.046867E-06 6.410726E-06 
196 4.199214E-06 5.050193E-06 6.415487E-06 
197 4.201603E-06 5.053474E-06 6.420184E-06 
198 4.203945E-06 5.056710E-06 6.424817E-06 
199 4.206237E-06 5.059898E-06 6.429389E-06 
200 4.208476E-06 5.063034E-06 6.433898E-06 
201 4.210659E-06 5.066117E-06 6.438346E-06 
202 4.212786E-06 5.069147E-06 6.442735E-06 
203 4.214861E-06 5.072126E-06 6.447068E-06 
204 4.216884E-06 5.075056E-06 6.451349E-06 
205 4.218858E-06 5.077939E-06 6.455578E-06 
206 4.220783E-06 5.080775E-06 6.459759E-06 
207 4.222662E-06 5.083565E-06 6.463894E-06 
208 4.224495E-06 5.086311E-06 6.467983E-06 
209 4.226283E-06 5.089013E-06 6.472029E-06 
210 4.228026E-06 5.091670E-06 6.476032E-06 
211 4.229727E-06 5.094284E-06 6.479993E-06 
212 4.231384E-06 5.096853E-06 6.483912E-06 
213 4.232999E-06 5.099378E-06 6.487791E-06 
