# Dimensionless power spectra l*(l+1)*C_l/(2*pi)
# [0] l, [1] l1l1, [2] l1l2, [3] l2l2,
503 4.009499E-06 4.904229E-06 6.386960E-06 
504 4.008035E-06 4.902580E-06 6.385081E-06 
505 4.006568E-06 4.900928E-06 6.383198E-06 
506 4.005101E-06 4.899273E-06 6.381313E-06 
507 4.003632E-06 4.897617E-06 6.379425E-06 
508 4.002161E-06 4.895958E-06 6.377534E-06 
509 4.000690E-06 4.894298E-06 6.375641E-06 
510 3.999218E-06 4.892636E-06 6.373745E-06 
511 3.997745E-06 4.890973E-06 6.371848E-06 
512 3.996271E-06 4.889308E-06 6.369948E-06 
513 3.994797E-06 4.887642E-06 6.368047E-06 
514 3.993323E-06 4.885974E-06 6.366144E-06 
515 3.991848E-06 4.884306E-06 6.364239E-06 
516 3.990372E-06 4.882637E-06 6.362333E-06 
517 3.988897E-06 4.880967E-06 6.360426E-06 
518 3.987421E-06 4.879297E-06 6.358518E-06 
519 3.985945E-06 4.877625E-06 6.356608E-06 
520 3.984470E-06 4.875954E-06 6.354698E-06 
521 3.982994E-06 4.874281E-06 6.352786E-06 
522 3.981518E-06 4.872609E-06 6.350874E-06 
523 3.980043E-06 4.870936E-06 6.348960E-06 
524 3.978567E-06 4.869262E-06 6.347046E-06 
525 3.977092E-06 4.867589E-06 6.345131E-06 
526 3.975617E-06 4.865915E-06 6.343215E-06 
527 3.974143E-06 4.864241E-06 6.341298E-06 
528 3.972668E-06 4.862566E-06 6.339381E-06 
529 3.971194E-06 4.860892E-06 6.337462E-06 
530 3.969720E-06 4.859217E-06 6.335543E-06 
531 3.968246E-06 4.857542E-06 6.333623E-06 
532 3.966773E-06 4.855866E-06 6.331702E-06 
533 3.965299E-06 4.854191E-06 6.329779E-06 
534 3.963826E-06 4.852515E-06 6.327856E-06 
535 3.962353E-06 4.850838E-06 6.325931E-06 
536 3.960879E-06 4.849161E-06 6.324005E-06 
537 3.959406E-06 4.847484E-06 6.322078E-06 
538 3.957933E-06 4.845806E-06 6.320148E-06 
539 3.956459E-06 4.844127E-06 6.318218E-06 
540 3.954985E-06 4.842448E-06 6.316285E-06 
541 3.953511E-06 4.840767E-06 6.314350E-06 
542 3.952036E-06 4.839086E-06 6.312413E-06 
543 3.950561E-06 4.837404E-06 6.310473E-06 
544 3.949085E-06 4.835720E-06 6.308531E-06 
545 3.947609E-06 4.834035E-06 6.306587E-06 
546 3.946132E-06 4.832349E-06 6.304640E-06 
547 3.944655E-06 4.830662E-06 6.302691E-06 
548 3.943177E-06 4.828975E-06 6.300740E-06 
549 3.941699E-06 4.827287E-06 6.298788E-06 
550 3.940221E-06 4.825598E-06 6.296833E-06 
551 3.938744E-06 4.823909E-06 6.294877E-06 
552 3.937266E-06 4.822220E-06 6.292920E-06 
553 3.935788E-06 4.820530E-06 6.290961E-06 
554 3.934311E-06 4.818840E-06 6.289001E-06 
555 3.932833E-06 4.817150E-06 6.287040E-06 
556 3.931356E-06 4.815460E-06 6.285078E-06 
557 3.929880E-06 4.813770E-06 6.283116E-06 
558 3.928404E-06 4.812080E-06 6.281152E-06 
559 3.926928E-06 4.810390E-06 6.279187E-06 
560 3.925452E-06 4.808700E-06 6.277222E-06 
561 3.923978E-06 4.807011E-06 6.275256E-06 
562 3.922503E-06 4.805322E-06 6.273290E-06 
563 3.921030E-06 4.803633E-06 6.271323E-06 
564 3.919556E-06 4.801944E-06 6.269355E-06 
565 3.918084E-06 4.800256E-06 6.267387E-06 
566 3.916612E-06 4.798568E-06 6.265418E-06 
567 3.915140E-06 4.796880E-06 6.263449E-06 
568 3.913669E-06 4.795193E-06 6.261480E-06 
569 3.912199E-06 4.793506E-06 6.259509E-06 
570 3.910729E-06 4.791819E-06 6.257539E-06 
571 3.909259E-06 4.790133E-06 6.255568E-06 
572 3.907790E-06 4.788446E-06 6.253596E-06 
573 3.906321E-06 4.786760E-06 6.251624E-06 
574 3.904853E-06 4.785074E-06 6.249651E-06 
575 3.903385E-06 4.783388E-06 6.247677E-06 
576 3.901918E-06 4.781703E-06 6.245702E-06 
577 3.900450E-06 4.780017E-06 6.243727E-06 
578 3.898983E-06 4.778331E-06 6.241751E-06 
579 3.897516E-06 4.776644E-06 6.239773E-06 
580 3.896049E-06 4.774958E-06 6.237795E-06 
581 3.894581E-06 4.773271E-06 6.235815E-06 
582 3.893114E-06 4.771584E-06 6.233834E-06 
583 3.891646E-06 4.769896E-06 6.231851E-06 
584 3.890178E-06 4.768207E-06 6.229867E-06 
585 3.888710E-06 4.766519E-06 6.227881E-06 
586 3.887242E-06 4.764829E-06 6.225895E-06 
587 3.885775E-06 4.763140E-06 6.223907E-06 
588 3.884307E-06 4.761451E-06 6.221919E-06 
589 3.882839E-06 4.759761E-06 6.219930E-06 
590 3.881372E-06 4.758072E-06 6.217940E-06 
591 3.879904E-06 4.756382E-06 6.215949E-06 
592 3.878438E-06 4.754693E-06 6.213958E-06 
593 3.876971E-06 4.753004E-06 6.211967E-06 
594 3.875506E-06 4.751315E-06 6.209975E-06 
595 3.874040E-06 4.749627E-06 6.207983E-06 
596 3.872575E-06 4.747939E-06 6.205991E-06 
597 3.871111E-06 4.746251E-06 6.203998E-06 
598 3.869647E-06 4.744564E-06 6.202006E-06 
599 3.868184E-06 4.742877E-06 6.200013E-06 
600 3.866722E-06 4.741191E-06 6.198021E-06 
601 3.865260E-06 4.739506E-06 6.196029E-06 
602 3.863800E-06 4.737821E-06 6.194036E-06 
603 3.862339E-06 4.736136E-06 6.192044E-06 
604 3.860880E-06 4.734452E-06 6.190052E-06 
605 3.859421E-06 4.732769E-06 6.188060E-06 
606 3.857963E-06 4.731086E-06 6.186069E-06 
607 3.856506E-06 4.729404E-06 6.184077E-06 
608 3.855049E-06 4.727723E-06 6.182086E-06 
609 3.853593E-06 4.726042E-06 6.180095E-06 
610 3.852138E-06 4.724361E-06 6.178104E-06 
611 3.850683E-06 4.722681E-06 6.176113E-06 
612 3.849229E-06 4.721002E-06 6.174122E-06 
613 3.847776E-06 4.719322E-06 6.172131E-06 
614 3.846323E-06 4.717644E-06 6.170140E-06 
615 3.844871E-06 4.715965E-06 6.168149E-06 
616 3.843419E-06 4.714287E-06 6.166158E-06 
617 3.841968E-06 4.712609E-06 6.164166E-06 
618 3.840517E-06 4.710932E-06 6.162175E-06 
619 3.839066E-06 4.709254E-06 6.160183E-06 
620 3.837616E-06 4.707576E-06 6.158191E-06 
621 3.836166E-06 4.705899E-06 6.156198E-06 
622 3.834716E-06 4.704221E-06 6.154204E-06 
623 3.833266E-06 4.702543E-06 6.152210E-06 
624 3.831817E-06 4.700865E-06 6.150216E-06 
625 3.830368E-06 4.699187E-06 6.148221E-06 
626 3.828919E-06 4.697509E-06 6.146226E-06 
627 3.827470E-06 4.695832E-06 6.144231E-06 
628 3.826022E-06 4.694155E-06 6.142236E-06 
629 3.824575E-06 4.692478E-06 6.140241E-06 
630 3.823128E-06 4.690801E-06 6.138246E-06 
631 3.821682E-06 4.689125E-06 6.136251E-06 
632 3.820237E-06 4.687450E-06 6.134256E-06 
633 3.818792E-06 4.685775E-06 6.132261E-06 
634 3.817348E-06 4.684100E-06 6.130267E-06 
635 3.815904E-06 4.682426E-06 6.128273E-06 
636 3.814462E-06 4.680753E-06 6.126279E-06 
637 3.813020E-06 4.679081E-06 6.124286E-06 
638 3.811579E-06 4.677409E-06 6.122293E-06 
639 3.810139E-06 4.675738E-06 6.120301E-06 
640 3.808699E-06 4.674067E-06 6.118309E-06 
641 3.807261E-06 4.672398E-06 6.116318E-06 
642 3.805823E-06 4.670729E-06 6.114327E-06 
643 3.804386E-06 4.669061E-06 6.112337E-06 
644 3.802950E-06 4.667394E-06 6.110347E-06 
645 3.801515E-06 4.665727E-06 6.108357E-06 
646 3.800081E-06 4.664061E-06 6.106369E-06 
647 3.798648E-06 4.662396E-06 6.104380E-06 
648 3.797215E-06 4.660732E-06 6.102392E-06 
649 3.795784E-06 4.659069E-06 6.100405E-06 
650 3.794353E-06 4.657406E-06 6.098418E-06 
651 3.792923E-06 4.655744E-06 6.096431E-06 
652 3.791493E-06 4.654082E-06 6.094445E-06 
653 3.790065E-06 4.652421E-06 6.092459E-06 
654 3.788637E-06 4.650761E-06 6.090473E-06 
655 3.787210E-06 4.649102E-06 6.088487E-06 
656 3.785783E-06 4.647442E-06 6.086502E-06 
657 3.784357E-06 4.645784E-06 6.084516E-06 
658 3.782931E-06 4.644125E-06 6.082531E-06 
659 3.781506E-06 4.642467E-06 6.080545E-06 
660 3.780081E-06 4.640810E-06 6.078559E-06 
661 3.778657E-06 4.639152E-06 6.076573E-06 
662 3.777233E-06 4.637495E-06 6.074587E-06 
663 3.775810E-06 4.635838E-06 6.072600E-06 
664 3.774387E-06 4.634182E-06 6.070614E-06 
665 3.772964E-06 4.632526E-06 6.068627E-06 
666 3.771542E-06 4.630870E-06 6.066641E-06 
667 3.770121E-06 4.629215E-06 6.064655E-06 
668 3.768701E-06 4.627561E-06 6.062669E-06 
669 3.767281E-06 4.625907E-06 6.060683E-06 
670 3.765862E-06 4.624254E-06 6.058698E-06 
671 3.764443E-06 4.622601E-06 6.056713E-06 
672 3.763026E-06 4.620950E-06 6.054729E-06 
673 3.761609E-06 4.619299E-06 6.052745E-06 
674 3.760193E-06 4.617649E-06 6.050761E-06 
675 3.758778E-06 4.616000E-06 6.048778E-06 
676 3.757364E-06 4.614351E-06 6.046796E-06 
677 3.755951E-06 4.612704E-06 6.044814E-06 
678 3.754539E-06 4.611057E-06 6.042833E-06 
679 3.753127E-06 4.609411E-06 6.040852E-06 
680 3.751717E-06 4.607766E-06 6.038872E-06 
681 3.750307E-06 4.606122E-06 6.036893E-06 
682 3.748898E-06 4.604479E-06 6.034915E-06 
683 3.747491E-06 4.602837E-06 6.032937E-06 
684 3.746084E-06 4.601196E-06 6.030960E-06 
685 3.744678E-06 4.599556E-06 6.028984E-06 
686 3.743273E-06 4.597916E-06 6.027008E-06 
687 3.741869E-06 4.596278E-06 6.025033E-06 
688 3.740466E-06 4.594640E-06 6.023059E-06 
689 3.739063E-06 4.593003E-06 6.021085E-06 
690 3.737662E-06 4.591367E-06 6.019112E-06 
691 3.736261E-06 4.589732E-06 6.017140E-06 
692 3.734862E-06 4.588098E-06 6.015168E-06 
693 3.733463E-06 4.586464E-06 6.013196E-06 
694 3.732064E-06 4.584831E-06 6.011225E-06 
695 3.730667E-06 4.583199E-06 6.009255E-06 
696 3.729270E-06 4.581568E-06 6.007285E-06 
697 3.727874E-06 4.579937E-06 6.005315E-06 
698 3.726478E-06 4.578306E-06 6.003346E-06 
699 3.725083E-06 4.576676E-06 6.001377E-06 
700 3.723689E-06 4.575047E-06 5.999408E-06 
701 3.722295E-06 4.573418E-06 5.997439E-06 
702 3.720902E-06 4.571789E-06 5.995470E-06 
703 3.719509E-06 4.570161E-06 5.993502E-06 
704 3.718117E-06 4.568534E-06 5.991534E-06 
705 3.716726E-06 4.566907E-06 5.989567E-06 
706 3.715335E-06 4.565281E-06 5.987600E-06 
707 3.713945E-06 4.563656E-06 5.985634E-06 
708 3.712556E-06 4.562031E-06 5.983668E-06 
709 3.711168E-06 4.560408E-06 5.981703E-06 
710 3.709781E-06 4.558785E-06 5.979739E-06 
711 3.708394E-06 4.557163E-06 5.977775E-06 
712 3.707009E-06 4.555542E-06 5.975812E-06 
713 3.705624E-06 4.553922E-06 5.973850E-06 
714 3.704240E-06 4.552302E-06 5.971889E-06 
715 3.702858E-06 4.550684E-06 5.969928E-06 
716 3.701476E-06 4.549067E-06 5.967968E-06 
717 3.700095E-06 4.547450E-06 5.966010E-06 
718 3.698715E-06 4.545835E-06 5.964052E-06 
719 3.697336E-06 4.544220E-06 5.962095E-06 
720 3.695958E-06 4.542607E-06 5.960139E-06 
721 3.694581E-06 4.540994E-06 5.958183E-06 
722 3.693205E-06 4.539383E-06 5.956229E-06 
723 3.691830E-06 4.537772E-06 5.954275E-06 
724 3.690456E-06 4.536162E-06 5.952323E-06 
725 3.689082E-06 4.534554E-06 5.950371E-06 
726 3.687710E-06 4.532946E-06 5.948420E-06 
727 3.686339E-06 4.531340E-06 5.946470E-06 
728 3.684968E-06 4.529734E-06 5.944521E-06 
729 3.683599E-06 4.528129E-06 5.942573E-06 
730 3.682230E-06 4.526525E-06 5.940625E-06 
731 3.680863E-06 4.524922E-06 5.938679E-06 
732 3.679496E-06 4.523320E-06 5.936733E-06 
733 3.678130E-06 4.521718E-06 5.934787E-06 
734 3.676764E-06 4.520118E-06 5.932843E-06 
735 3.675400E-06 4.518518E-06 5.930899E-06 
736 3.674036E-06 4.516919E-06 5.928955E-06 
737 3.672673E-06 4.515320E-06 5.927013E-06 
738 3.671311E-06 4.513722E-06 5.925070E-06 
739 3.669949E-06 4.512125E-06 5.923128E-06 
740 3.668588E-06 4.510529E-06 5.921187E-06 
741 3.667227E-06 4.508933E-06 5.919246E-06 
742 3.665868E-06 4.507337E-06 5.917305E-06 
743 3.664509E-06 4.505743E-06 5.915366E-06 
744 3.663151E-06 4.504149E-06 5.913426E-06 
745 3.661793E-06 4.502556E-06 5.911488E-06 
746 3.660437E-06 4.500964E-06 5.909550E-06 
747 3.659081E-06 4.499373E-06 5.907613E-06 
748 3.657726E-06 4.497783E-06 5.905677E-06 
749 3.656373E-06 4.496193E-06 5.903742E-06 
750 3.655020E-06 4.494605E-06 5.901808E-06 
751 3.653668E-06 4.493017E-06 5.899874E-06 
752 3.652316E-06 4.491431E-06 5.897941E-06 
753 3.650966E-06 4.489845E-06 5.896010E-06 
754 3.649617E-06 4.488260E-06 5.894079E-06 
755 3.648269E-06 4.486677E-06 5.892149E-06 
756 3.646921E-06 4.485094E-06 5.890220E-06 
757 3.645575E-06 4.483513E-06 5.888293E-06 
758 3.644230E-06 4.481932E-06 5.886366E-06 
759 3.642885E-06 4.480353E-06 5.884440E-06 
760 3.641542E-06 4.478774E-06 5.882515E-06 
761 3.640200E-06 4.477197E-06 5.880591E-06 
762 3.638858E-06 4.475620E-06 5.878668E-06 
763 3.637518E-06 4.474045E-06 5.876747E-06 
764 3.636178E-06 4.472471E-06 5.874826E-06 
765 3.634840E-06 4.470897E-06 5.872906E-06 
766 3.633502E-06 4.469325E-06 5.870987E-06 
767 3.632166E-06 4.467753E-06 5.869069E-06 
768 3.630830E-06 4.466183E-06 5.867152E-06 
769 3.629495E-06 4.464614E-06 5.865236E-06 
770 3.628161E-06 4.463045E-06 5.863320E-06 
771 3.626828E-06 4.461477E-06 5.861406E-06 
772 3.625496E-06 4.459911E-06 5.859492E-06 
773 3.624165E-06 4.458345E-06 5.857579E-06 
774 3.622834E-06 4.456780E-06 5.855667E-06 
775 3.621504E-06 4.455216E-06 5.853756E-06 
776 3.620176E-06 4.453652E-06 5.851845E-06 
777 3.618847E-06 4.452090E-06 5.849935E-06 
778 3.617520E-06 4.450528E-06 5.848026E-06 
779 3.616193E-06 4.448966E-06 5.846117E-06 
780 3.614867E-06 4.447406E-06 5.844209E-06 
781 3.613542E-06 4.445846E-06 5.842301E-06 
782 3.612217E-06 4.444287E-06 5.840395E-06 
783 3.610894E-06 4.442729E-06 5.838489E-06 
784 3.609571E-06 4.441172E-06 5.836584E-06 
785 3.608249E-06 4.439616E-06 5.834680E-06 
786 3.606928E-06 4.438061E-06 5.832776E-06 
787 3.605608E-06 4.436506E-06 5.830874E-06 
788 3.604288E-06 4.434953E-06 5.828972E-06 
789 3.602970E-06 4.433401E-06 5.827072E-06 
790 3.601652E-06 4.431849E-06 5.825172E-06 
791 3.600336E-06 4.430299E-06 5.823273E-06 
792 3.599020E-06 4.428749E-06 5.821376E-06 
793 3.597706E-06 4.427201E-06 5.819479E-06 
794 3.596392E-06 4.425654E-06 5.817583E-06 
795 3.595079E-06 4.424107E-06 5.815689E-06 
796 3.593768E-06 4.422562E-06 5.813795E-06 
797 3.592457E-06 4.421018E-06 5.811903E-06 
798 3.591147E-06 4.419474E-06 5.810011E-06 
799 3.589839E-06 4.417932E-06 5.808121E-06 
800 3.588531E-06 4.416391E-06 5.806232E-06 
801 3.587224E-06 4.414851E-06 5.804344E-06 
802 3.585918E-06 4.413312E-06 5.802456E-06 
803 3.584613E-06 4.411774E-06 5.800570E-06 
804 3.583309E-06 4.410237E-06 5.798685E-06 
805 3.582006E-06 4.408701E-06 5.796801E-06 
806 3.580704E-06 4.407166E-06 5.794918E-06 
807 3.579403E-06 4.405632E-06 5.793036E-06 
808 3.578103E-06 4.404099E-06 5.791155E-06 
809 3.576804E-06 4.402567E-06 5.789275E-06 
810 3.575505E-06 4.401036E-06 5.787396E-06 
811 3.574208E-06 4.399506E-06 5.785518E-06 
812 3.572911E-06 4.397977E-06 5.783640E-06 
813 3.571615E-06 4.396449E-06 5.781764E-06 
814 3.570320E-06 4.394921E-06 5.779888E-06 
815 3.569026E-06 4.393395E-06 5.778013E-06 
816 3.567732E-06 4.391869E-06 5.776139E-06 
817 3.566439E-06 4.390344E-06 5.774266E-06 
818 3.565147E-06 4.388819E-06 5.772393E-06 
819 3.563856E-06 4.387296E-06 5.770522E-06 
820 3.562566E-06 4.385773E-06 5.768651E-06 
821 3.561276E-06 4.384251E-06 5.766781E-06 
822 3.559987E-06 4.382730E-06 5.764911E-06 
823 3.558699E-06 4.381210E-06 5.763043E-06 
824 3.557412E-06 4.379691E-06 5.761176E-06 
825 3.556126E-06 4.378173E-06 5.759309E-06 
826 3.554841E-06 4.376656E-06 5.757444E-06 
827 3.553556E-06 4.375140E-06 5.755580E-06 
828 3.552273E-06 4.373625E-06 5.753716E-06 
829 3.550990E-06 4.372111E-06 5.751854E-06 
830 3.549709E-06 4.370597E-06 5.749993E-06 
831 3.548428E-06 4.369085E-06 5.748132E-06 
832 3.547148E-06 4.367574E-06 5.746273E-06 
833 3.545870E-06 4.366064E-06 5.744415E-06 
834 3.544592E-06 4.364555E-06 5.742558E-06 
835 3.543315E-06 4.363047E-06 5.740702E-06 
836 3.542039E-06 4.361540E-06 5.738848E-06 
837 3.540764E-06 4.360034E-06 5.736994E-06 
838 3.539490E-06 4.358529E-06 5.735142E-06 
839 3.538217E-06 4.357026E-06 5.733290E-06 
840 3.536945E-06 4.355523E-06 5.731440E-06 
841 3.535674E-06 4.354021E-06 5.729591E-06 
842 3.534404E-06 4.352521E-06 5.727743E-06 
843 3.533135E-06 4.351021E-06 5.725896E-06 
844 3.531867E-06 4.349522E-06 5.724050E-06 
845 3.530599E-06 4.348025E-06 5.722205E-06 
846 3.529333E-06 4.346528E-06 5.720362E-06 
847 3.528068E-06 4.345033E-06 5.718519E-06 
848 3.526803E-06 4.343538E-06 5.716677E-06 
849 3.525540E-06 4.342045E-06 5.714837E-06 
850 3.524277E-06 4.340552E-06 5.712997E-06 
851 3.523015E-06 4.339061E-06 5.711159E-06 
852 3.521754E-06 4.337570E-06 5.709321E-06 
853 3.520494E-06 4.336080E-06 5.707484E-06 
854 3.519234E-06 4.334591E-06 5.705648E-06 
855 3.517976E-06 4.333103E-06 5.703813E-06 
856 3.516718E-06 4.331616E-06 5.701979E-06 
857 3.515461E-06 4.330129E-06 5.700146E-06 
858 3.514205E-06 4.328644E-06 5.698314E-06 
859 3.512949E-06 4.327159E-06 5.696482E-06 
860 3.511695E-06 4.325675E-06 5.694652E-06 
861 3.510441E-06 4.324193E-06 5.692822E-06 
862 3.509188E-06 4.322711E-06 5.690994E-06 
863 3.507936E-06 4.321230E-06 5.689166E-06 
864 3.506685E-06 4.319750E-06 5.687340E-06 
865 3.505435E-06 4.318271E-06 5.685514E-06 
866 3.504186E-06 4.316793E-06 5.683690E-06 
867 3.502937E-06 4.315316E-06 5.681866E-06 
868 3.501690E-06 4.313839E-06 5.680044E-06 
869 3.500443E-06 4.312364E-06 5.678222E-06 
870 3.499197E-06 4.310890E-06 5.676402E-06 
871 3.497953E-06 4.309417E-06 5.674583E-06 
872 3.496709E-06 4.307945E-06 5.672765E-06 
873 3.495466E-06 4.306474E-06 5.670948E-06 
874 3.494224E-06 4.305004E-06 5.669132E-06 
875 3.492983E-06 4.303535E-06 5.667317E-06 
876 3.491742E-06 4.302067E-06 5.665503E-06 
877 3.490503E-06 4.300600E-06 5.663691E-06 
878 3.489265E-06 4.299134E-06 5.661879E-06 
879 3.488027E-06 4.297669E-06 5.660069E-06 
880 3.486791E-06 4.296205E-06 5.658259E-06 
881 3.485555E-06 4.294742E-06 5.656451E-06 
882 3.484320E-06 4.293280E-06 5.654644E-06 
883 3.483086E-06 4.291819E-06 5.652837E-06 
884 3.481853E-06 4.290359E-06 5.651032E-06 
885 3.480621E-06 4.288900E-06 5.649228E-06 
886 3.479390E-06 4.287442E-06 5.647425E-06 
887 3.478159E-06 4.285984E-06 5.645622E-06 
888 3.476930E-06 4.284528E-06 5.643821E-06 
889 3.475701E-06 4.283072E-06 5.642021E-06 
890 3.474473E-06 4.281618E-06 5.640221E-06 
891 3.473246E-06 4.280164E-06 5.638423E-06 
892 3.472019E-06 4.278711E-06 5.636625E-06 
893 3.470793E-06 4.277259E-06 5.634828E-06 
894 3.469568E-06 4.275807E-06 5.633032E-06 
895 3.468344E-06 4.274357E-06 5.631237E-06 
896 3.467120E-06 4.272907E-06 5.629442E-06 
897 3.465897E-06 4.271458E-06 5.627649E-06 
898 3.464675E-06 4.270010E-06 5.625856E-06 
899 3.463454E-06 4.268562E-06 5.624064E-06 
900 3.462234E-06 4.267116E-06 5.622273E-06 
901 3.461014E-06 4.265670E-06 5.620483E-06 
902 3.459795E-06 4.264226E-06 5.618694E-06 
903 3.458577E-06 4.262782E-06 5.616906E-06 
904 3.457360E-06 4.261339E-06 5.615119E-06 
905 3.456144E-06 4.259898E-06 5.613334E-06 
906 3.454928E-06 4.258457E-06 5.611549E-06 
907 3.453714E-06 4.257017E-06 5.609765E-06 
908 3.452500E-06 4.255579E-06 5.607983E-06 
909 3.451288E-06 4.254141E-06 5.606201E-06 
910 3.450076E-06 4.252704E-06 5.604421E-06 
911 3.448865E-06 4.251269E-06 5.602642E-06 
912 3.447656E-06 4.249835E-06 5.600865E-06 
913 3.446447E-06 4.248401E-06 5.599088E-06 
914 3.445239E-06 4.246969E-06 5.597313E-06 
915 3.444032E-06 4.245538E-06 5.595539E-06 
916 3.442827E-06 4.244108E-06 5.593766E-06 
917 3.441622E-06 4.242679E-06 5.591995E-06 
918 3.440418E-06 4.241252E-06 5.590225E-06 
919 3.439216E-06 4.239825E-06 5.588456E-06 
920 3.438014E-06 4.238400E-06 5.586688E-06 
921 3.436813E-06 4.236975E-06 5.584922E-06 
922 3.435614E-06 4.235552E-06 5.583157E-06 
923 3.434415E-06 4.234131E-06 5.581393E-06 
924 3.433218E-06 4.232710E-06 5.579631E-06 
925 3.432021E-06 4.231290E-06 5.577870E-06 
926 3.430826E-06 4.229872E-06 5.576111E-06 
927 3.429631E-06 4.228455E-06 5.574352E-06 
928 3.428438E-06 4.227039E-06 5.572596E-06 
929 3.427245E-06 4.225624E-06 5.570840E-06 
930 3.426054E-06 4.224210E-06 5.569086E-06 
931 3.424864E-06 4.222798E-06 5.567333E-06 
932 3.423674E-06 4.221387E-06 5.565581E-06 
933 3.422486E-06 4.219976E-06 5.563831E-06 
934 3.421299E-06 4.218567E-06 5.562082E-06 
935 3.420113E-06 4.217160E-06 5.560334E-06 
936 3.418927E-06 4.215753E-06 5.558588E-06 
937 3.417743E-06 4.214347E-06 5.556842E-06 
938 3.416560E-06 4.212942E-06 5.555098E-06 
939 3.415377E-06 4.211539E-06 5.553355E-06 
940 3.414195E-06 4.210136E-06 5.551614E-06 
941 3.413015E-06 4.208734E-06 5.549873E-06 
942 3.411835E-06 4.207334E-06 5.548133E-06 
943 3.410656E-06 4.205934E-06 5.546395E-06 
944 3.409478E-06 4.204535E-06 5.544657E-06 
945 3.408300E-06 4.203137E-06 5.542921E-06 
946 3.407124E-06 4.201740E-06 5.541185E-06 
947 3.405948E-06 4.200344E-06 5.539451E-06 
948 3.404773E-06 4.198949E-06 5.537717E-06 
949 3.403598E-06 4.197554E-06 5.535984E-06 
950 3.402424E-06 4.196160E-06 5.534251E-06 
951 3.401251E-06 4.194767E-06 5.532520E-06 
952 3.400078E-06 4.193374E-06 5.530789E-06 
953 3.398906E-06 4.191982E-06 5.529058E-06 
954 3.397735E-06 4.190590E-06 5.527329E-06 
955 3.396564E-06 4.189199E-06 5.525599E-06 
956 3.395393E-06 4.187809E-06 5.523871E-06 
957 3.394223E-06 4.186419E-06 5.522142E-06 
958 3.393054E-06 4.185029E-06 5.520414E-06 
959 3.391884E-06 4.183640E-06 5.518686E-06 
960 3.390715E-06 4.182251E-06 5.516959E-06 
961 3.389546E-06 4.180862E-06 5.515232E-06 
962 3.388378E-06 4.179474E-06 5.513504E-06 
963 3.387210E-06 4.178086E-06 5.511777E-06 
964 3.386041E-06 4.176697E-06 5.510050E-06 
965 3.384873E-06 4.175309E-06 5.508323E-06 
966 3.383705E-06 4.173921E-06 5.506596E-06 
967 3.382537E-06 4.172533E-06 5.504868E-06 
968 3.381369E-06 4.171145E-06 5.503140E-06 
969 3.380201E-06 4.169756E-06 5.501412E-06 
970 3.379033E-06 4.168368E-06 5.499683E-06 
971 3.377865E-06 4.166979E-06 5.497954E-06 
972 3.376697E-06 4.165590E-06 5.496224E-06 
973 3.375528E-06 4.164200E-06 5.494494E-06 
974 3.374359E-06 4.162810E-06 5.492763E-06 
975 3.373190E-06 4.161421E-06 5.491033E-06 
976 3.372022E-06 4.160032E-06 5.489302E-06 
977 3.370854E-06 4.158643E-06 5.487572E-06 
978 3.369687E-06 4.157255E-06 5.485843E-06 
979 3.368521E-06 4.155868E-06 5.484115E-06 
980 3.367356E-06 4.154482E-06 5.482389E-06 
981 3.366192E-06 4.153098E-06 5.480664E-06 
982 3.365030E-06 4.151716E-06 5.478942E-06 
983 3.363869E-06 4.150335E-06 5.477222E-06 
984 3.362710E-06 4.148957E-06 5.475504E-06 
985 3.361554E-06 4.147581E-06 5.473790E-06 
986 3.360399E-06 4.146209E-06 5.472079E-06 
987 3.359248E-06 4.144839E-06 5.470372E-06 
988 3.358099E-06 4.143472E-06 5.468669E-06 
989 3.356952E-06 4.142109E-06 5.466970E-06 
990 3.355809E-06 4.140749E-06 5.465276E-06 
991 3.354670E-06 4.139394E-06 5.463587E-06 
992 3.353533E-06 4.138042E-06 5.461904E-06 
993 3.352401E-06 4.136696E-06 5.460226E-06 
994 3.351273E-06 4.135354E-06 5.458554E-06 
995 3.350148E-06 4.134017E-06 5.456888E-06 
996 3.349029E-06 4.132685E-06 5.455229E-06 
997 3.347913E-06 4.131359E-06 5.453577E-06 
998 3.346803E-06 4.130039E-06 5.451932E-06 
999 3.345697E-06 4.128724E-06 5.450296E-06 
1000 3.344597E-06 4.127416E-06 5.448667E-06 
