# [0]z0 [1]zf [2]sigma_z [3]marg_sz [4]marg_bz [5]lmax
-0.000000 0.162162 0.054054 0 0 47
0.162162 0.350621 0.062820 0 0 144
0.350621 0.569640 0.073007 0 0 244
0.569640 0.824177 0.084845 0 0 347
0.824177 1.119989 0.098604 0 0 449
1.119989 1.463771 0.114594 0 0 548
1.463771 1.863302 0.133177 0 0 643
1.863302 2.327621 0.154773 0 0 734
2.327621 2.867235 0.179871 0 0 819
